"","DATA_RESPOSTA","EMAIL","VINCULO","CAMPUS","TIPO_DOMICILIO","IDADE_0_9","IDADE_10_39","IDADE_40_59","IDADE_MAIS_59","DOENCA_CRONICA","QUARTOS_DOMICILIO","ESTUDANTES","PROFESSORES","SERVICOS_ESSENCIAIS","INFORMAIS_AUTONOMOS"
"474","26/03/2020 18:58:13","a1109806c0264db33ac8f9d236ddb87a","Aluno","Montes Claros","Casa",0,4,2,0,2,3,3,1,0,1
"476","26/03/2020 18:58:40","0a9ae21b3bb55e14acd66f309713b17b","Aluno","Montes Claros","Casa",0,4,0,0,0,3,4,2,1,1
"477","26/03/2020 18:58:43","25b64193054bfb53574d275e70ee9327","Aluno","Montes Claros","Casa",0,1,2,0,0,3,1,0,1,0
"478","26/03/2020 18:58:43","2ccfe10898a46077fadf72aa40a336e4","Aluno","Montes Claros","Apartamento",0,4,0,0,0,2,4,0,0,0
"479","26/03/2020 18:58:51","ddd9084ee2ff64e88c223ebb81ca255b","Aluno","Montes Claros","Apartamento",0,21,2,0,0,2,2,0,0,0
"480","26/03/2020 18:59:00","60f9d5fa44f50df1dc873ca8ed48ef05","Aluno","Montes Claros","Casa",0,2,2,0,0,3,4,2,1,1
"481","26/03/2020 18:59:03","8c04f253f6e2289dcc6d524515917d3d","Aluno","Montes Claros","Casa",2,2,1,0,0,3,1,1,0,0
"482","26/03/2020 18:59:05","b2611a9064651b5d3cc7ca25fed29ef3","Aluno","Montes Claros","Casa",0,1,2,0,2,4,1,1,0,1
"483","26/03/2020 18:59:26","1d86e3f569ced62a672dd5b961df4819","Aluno","Montes Claros","Casa",0,2,2,0,0,2,1,0,1,0
"484","26/03/2020 18:59:39","181c6a5431603ef373de8fece0c9165e","Aluno","Montes Claros","Casa",0,1,0,1,0,2,1,1,0,0
"485","26/03/2020 18:59:42","637ccdafa2f46478c0639bf175e23d33","Aluno","Montes Claros","Casa",0,1,1,0,2,3,1,0,0,0
"486","26/03/2020 18:59:43","6bccf6dedada2f2bfa58f825223eda4e","Aluno","Montes Claros","Apartamento",0,4,0,0,0,4,4,0,0,0
"487","26/03/2020 18:59:50","8a46205a05d8bc28a16767ed4ba2f491","Aluno","Montes Claros","Casa",1,3,0,0,0,3,3,0,0,2
"488","26/03/2020 18:59:54","a3411809ab99610314e95a407822a5cf","Aluno","Montes Claros","Casa",0,4,2,0,2,3,1,0,1,1
"489","26/03/2020 19:00:12","47b11722316a444aa57ee77c49315f02","Aluno","Montes Claros","Apartamento",0,1,1,0,1,2,2,0,0,0
"491","26/03/2020 19:00:34","a1a26f0de6336e64b02a6b66407e947f","Aluno","Montes Claros","Casa",0,4,1,0,2,3,3,0,0,0
"492","26/03/2020 19:00:35","4bcf468b365888d94752ece62e51fde8","Tecnico administrativo","Diamantina","Apartamento",0,1,0,0,0,1,1,0,0,0
"493","26/03/2020 19:00:40","97c36f192072bf934898b581efbe9eb1","Aluno","Montes Claros","Casa",1,0,2,0,0,3,2,2,0,0
"495","26/03/2020 19:02:17","c009ef2080481f8b0b964bf249bada64","Aluno","Montes Claros","Casa",0,2,2,0,0,2,3,0,0,0
"496","26/03/2020 19:02:54","394f61460c0d3be6ceed460276a0d4e7","Aluno","Montes Claros","República",0,3,0,0,3,2,3,0,2,0
"497","26/03/2020 19:02:59","638b4452178c196a90a4fe8c5a449f8b","Aluno","Montes Claros","Casa",0,1,2,0,1,3,2,0,0,1
"499","26/03/2020 19:03:26","1846b723413229dbc4a34424a4a8789e","Aluno","Montes Claros","Casa",0,2,2,0,0,3,2,0,0,0
"500","26/03/2020 19:03:39","325080a04c1f7161921aa820502c08c6","Aluno","Salinas","República",0,4,0,0,0,3,4,0,1,1
"501","26/03/2020 19:03:55","f3758cd5036883a371328965bc117eea","Aluno","Montes Claros","Casa",0,2,0,0,0,2,1,0,0,0
"502","26/03/2020 19:04:09","4435780fd02ef7e177cd64896b582dad","Aluno","Montes Claros","Casa",1,4,2,0,1,4,4,0,0,1
"503","26/03/2020 19:04:12","1ddb3d8dacb3c6f8bad4ed5018045410","Aluno","Montes Claros","Casa",0,4,0,0,0,2,3,0,0,0
"505","26/03/2020 19:04:47","aefc9b8819376daea906236fd45e49b1","Aluno","Montes Claros","Casa",1,3,0,0,0,3,3,0,0,2
"507","26/03/2020 19:05:27","df62b29f3a560cabfd8207fe9580f747","Aluno","Montes Claros","Apartamento",0,4,1,0,1,3,3,0,0,1
"508","26/03/2020 19:05:41","9e9e94959c95baa9bbc579987eeec033","Aluno","Montes Claros","Apartamento",0,1,0,0,0,2,1,0,0,0
"509","26/03/2020 19:05:43","2f3d0892f5e7e68c7a1785c902ef4a7f","Aluno","Montes Claros","República",0,2,0,0,0,3,3,0,0,0
"510","26/03/2020 19:05:48","096f45417382409e6863f8446e4f8aec","Aluno","Montes Claros","Casa",0,3,0,0,1,2,1,1,0,1
"511","26/03/2020 19:05:50","182475f0c0ad26f98e51296a6225612b","Aluno","Montes Claros","Casa",0,2,2,1,1,2,2,0,0,0
"512","26/03/2020 19:06:12","045aae0bee808435e386215e2cafe7f6","Aluno","Araçuaí","Casa",0,2,2,0,0,3,2,1,1,1
"513","26/03/2020 19:06:14","6c9322d4b0ee374b5149b8708e981f0b","Aluno","Montes Claros","Apartamento",0,2,0,0,0,2,2,0,0,0
"514","26/03/2020 19:06:50","0e092860c8a34c1abc3f211ab95734a6","Aluno","Montes Claros","Casa",0,2,2,0,0,4,2,0,0,0
"515","26/03/2020 19:07:13","b9ef0e763cf3cb6a6a007acec212dc26","Aluno","Montes Claros","Apartamento",0,1,0,0,0,2,1,0,0,0
"517","26/03/2020 19:07:55","d11425d3c79973327aa5530eb32693e4","Aluno","Montes Claros","Casa",0,1,0,1,0,2,1,0,0,0
"518","26/03/2020 19:07:55","bb3a4a61de134cc8a87f98e6a868ded4","Aluno","Teófilo Otoni","Casa",0,5,0,0,0,3,3,0,0,1
"519","26/03/2020 19:08:13","6d72832e45783f2f41096824c05ffbf6","Aluno","Montes Claros","Casa",0,3,1,1,3,4,2,1,1,2
"520","26/03/2020 19:08:23","5a1a8b5a56749039e28fb6e378a48b98","Aluno","Montes Claros","Pensionato",0,7,0,0,1,7,7,0,0,0
"522","26/03/2020 19:09:02","7295278b99d74a9036b5b98a049c176c","Aluno","Montes Claros","Casa",0,1,2,0,0,2,1,0,1,1
"523","26/03/2020 19:09:39","f6b068b5e4e9e7609e1c6806e66ede25","Aluno","Montes Claros","Casa",0,2,2,0,0,3,2,1,1,0
"525","26/03/2020 19:10:23","1ee4578e9b629eb6f0183e2f53d2ef84","Aluno","Montes Claros","Casa",0,2,0,0,0,2,2,0,0,0
"526","26/03/2020 19:10:25","0e18bbd2d4d264ba737911d51c6bbc2c","Aluno","Montes Claros","Casa",1,1,0,2,2,3,2,0,2,2
"527","26/03/2020 19:11:50","f55d66d3882f4376e82bf726864db734","Aluno","Montes Claros","Casa",0,1,2,0,0,2,1,0,0,1
"528","26/03/2020 19:12:15","30b494a5d475e2a762969ed03c712faa","Aluno","Montes Claros","Casa",0,3,2,0,2,4,2,1,3,0
"529","26/03/2020 19:12:31","d0908f5952927a6b3ac62482ce6c8698","Aluno","Montes Claros","Casa",0,3,1,0,0,3,3,0,0,0
"530","26/03/2020 19:12:36","572ab2383217761ff84d6a9cc940a984","Aluno","Montes Claros","Casa",0,2,2,0,0,3,2,1,2,1
"531","26/03/2020 19:12:50","7a8117cbccdd81f698133d2ea42e3614","Aluno","Montes Claros","Apartamento",0,3,0,0,0,3,3,0,0,0
